Taux_Perte;Taux_Perte_num;Variable;Type_Variable;Methode;RMSE;MAE;KS_pvalue;Wilcoxon_pvalue;F1_weighted;Classification_Error;Chi2_pvalue
10%;0,1;Age;Continu;Mediane/Mode;9,271692710302995;7,607142857142857;0,8074043812092967;0,4185518080265015;;;
10%;0,1;IMC;Continu;Mediane/Mode;4,509464256814447;3,740658408823531;0,9903851486604354;0,1323699951171875;;;
10%;0,1;TT;Continu;Mediane/Mode;13,057564857200596;10,710526315789474;0,6101327398229283;0,9537213213748703;;;
10%;0,1;PAS;Continu;Mediane/Mode;25,299383856715004;19,529411764705884;0,7442018745342833;0,4488873835339048;;;
10%;0,1;PAD;Continu;Mediane/Mode;15,201674548907732;11,090909090909092;0,48023676634154905;0,36557019575773153;;;
10%;0,1;Prot;Continu;Mediane/Mode;19,296678988883038;12,632285714285715;0,6101327398229283;0,39428482343300375;;;
10%;0,1;HDL;Continu;Mediane/Mode;0,2489196657558418;0,2018;0,11175394106208987;0,26897645523599756;;;
10%;0,1;Totc;Continu;Mediane/Mode;0,3494853358869296;0,26866666666666666;0,7442018745342833;0,1587122570105879;;;
10%;0,1;LDLc;Continu;Mediane/Mode;0,4572081739051854;0,35554285714285716;0,6776105978838524;0,5499341739338028;;;
10%;0,1;TG;Continu;Mediane/Mode;0,4277641205818259;0,31964285714285723;0,7442018745342833;0,0720093384543202;;;
10%;0,1;Non HDL;Continu;Mediane/Mode;0,43983357242094584;0,34928571428571425;0,9126306966280817;0,8733211966064174;;;
10%;0,1;PCSK9;Continu;Mediane/Mode;67,38582929668146;32,2452929616;0,9126306966280817;0,2758104014698106;;;
10%;0,1;Glu;Continu;Mediane/Mode;0,8996623298173085;0,596923076923077;0,9499065344511678;0,14768891905931403;;;
10%;0,1;Ins (µUI/mL);Continu;Mediane/Mode;4,124893157500294;2,95691375;0,7442018745342833;0,4069843718316406;;;
10%;0,1;HOMAB%;Continu;Mediane/Mode;90,20722175714569;47,542857142857144;0,8074043812092967;0,009016036987304688;;;
10%;0,1;HOMA-IR;Continu;Mediane/Mode;20,697434750449574;4,756228076565217;0,9754946858184;0,5429424906845058;;;
10%;0,1;Adipo HMW;Continu;Mediane/Mode;11,090061359986333;3,2708614951714288;0,6101327398229283;0,11098843696527183;;;
10%;0,1;Glibenclamide 5mg;Continu;Mediane/Mode;5,3830542192395505;2,803030303030303;0,9903851486604354;0,00429489410947518;;;
10%;0,1;Insuline 10 UI;Continu;Mediane/Mode;1,889822365046136;0,35714285714285715;1,0;0,7194375444233914;;;
10%;0,1;Lasilix 40 mg;Continu;Mediane/Mode;0,0;0,0;1,0;1,0;;;
10%;0,1;Lexomil 6 mg;Continu;Mediane/Mode;0,0;0,0;1,0;1,0;;;
10%;0,1;Metformine 500 mg;Continu;Mediane/Mode;1279,2042981336626;848,4848484848485;0,8644440045104076;0,00034248344582665373;;;
10%;0,1;Ratio Tot-c/HDL;Continu;Mediane/Mode;1,6901562313533667;1,0905076413571428;0,7442018745342833;0,5979221016168594;;;
10%;0,1;Ratio LDL-c/HDL;Continu;Mediane/Mode;2,451400880849281;1,3035026728857142;0,6101327398229283;0,691783364105504;;;
10%;0,1;Ratio TG/HDL;Continu;Mediane/Mode;2,761939135142273;0,98982878632;0,9126306966280817;0,5271640519776486;;;
10%;0,1;Ratio LogTG/HDL;Continu;Mediane/Mode;0,2762142093595453;0,1721028822631579;0,48023676634154905;0,04446884250501171;;;
10%;0,1;Insu pmol/L;Continu;Mediane/Mode;37,534049896805755;23,214869358139538;0,2694445751599743;0,9422434967901488;;;
10%;0,1;lu(mmol/l);Continu;Mediane/Mode;6,217255366650183;4,2934371250000005;0,8074043812092967;0,1873922399083836;;;
10%;0,1;HOMAS%;Continu;Mediane/Mode;531,3819271485327;170,9277777783333;0,5438221307073731;0,6374038173325363;;;
10%;0,1;Sexe;Binaire;Mediane/Mode;;;;;0,45;0,4;1,598885891338629e-58
10%;0,1;HTA;Binaire;Mediane/Mode;;;;;0,5629838142153413;0,31034482758620685;1,786023299035278e-60
10%;0,1;HTS/HTD;Ordinal;Mediane/Mode;;;;;0,2868347338935574;0,5428571428571429;1,1518594927804176e-164
10%;0,1;Profil_glycemique;Ordinal;Mediane/Mode;;;;;0,5200471698113208;0,34375;2,8308269483382175e-181
10%;0,1;Age;Continu;MICE (sklearn);14,789235566456089;11,584315652596203;0,9999999999996849;0,6295278295874596;;;
