Mecanisme;Taux;Methode;RMSE_CV;Var_Ratio;KS_sig_pct;F1_CV
MCAR;10%;Mediane/Mode;0.2891108543288444;0.9069878440249977;0.0;0.19717263628844672
MCAR;10%;KNN (k=5);0.2699519829070217;0.9216895018903962;0.0;0.20569497608440807
MCAR;10%;MICE (BayesianRidge);0.16202916012963994;1.0064673867892004;0.0;0.13432358982467568
MCAR;10%;MissForest;0.34778985804209744;0.9590513237804222;0.0;0.0866973063248287
MCAR;20%;Mediane/Mode;0.1383068887143244;0.8121013889491886;0.15151515151515152;0.10405113393310174
MCAR;20%;KNN (k=5);0.09751224544552752;0.8355897124097078;0.0;0.18374902455120565
MCAR;20%;MICE (BayesianRidge);0.11123533632613744;1.031400056091662;0.030303030303030304;0.07463476606596287
MCAR;20%;MissForest;0.30538043748255717;0.9216813799288499;0.06060606060606061;0.055253926439845794
MCAR;40%;Mediane/Mode;0.12115936882951353;0.6202145419607441;0.7878787878787878;0.10246938444210907
MCAR;40%;KNN (k=5);0.0773347784302143;0.6720674346181974;0.18181818181818182;0.11469554224903673
MCAR;40%;MICE (BayesianRidge);0.05182761291633835;1.1213345305065605;0.3333333333333333;0.09139274833397963
MCAR;40%;MissForest;0.16370491479395824;0.8239810924532659;0.15151515151515152;0.04363554225292206
MAR;10%;Mediane/Mode;0.37806302461272095;0.8622793181500563;0.0;0.3251117422176344
MAR;10%;KNN (k=5);0.2819184253114247;0.889504475193662;0.0;0.26981166911675103
MAR;10%;MICE (BayesianRidge);0.20938713036776693;1.0127144443315772;0.0;0.1364133641406216
MAR;10%;MissForest;0.2661837996216311;0.9406708566029888;0.0;0.09006763405714087
MAR;20%;Mediane/Mode;0.18238014276059777;0.7633058691266086;0.5454545454545454;0.1800193325904759
MAR;20%;KNN (k=5);0.18070769072517343;0.8226233770825457;0.0;0.20151470219477988
MAR;20%;MICE (BayesianRidge);0.24442736353824976;1.0813570276554763;0.06060606060606061;0.12002324589180112
MAR;20%;MissForest;0.34379946103376785;0.8903868046893073;0.030303030303030304;0.15979041999272456
MAR;40%;Mediane/Mode;0.14766779147575992;0.6250242782079561;0.7575757575757576;0.20488776808269257
MAR;40%;KNN (k=5);0.14915528907584766;0.6936693854499278;0.45454545454545453;0.2814386739049385
MAR;40%;MICE (BayesianRidge);0.1835005989430713;1.2328211875540571;0.36363636363636365;0.08912895271726674
MAR;40%;MissForest;0.4102791917701937;0.8801260359412906;0.15151515151515152;0.18071988093847402
