Taux;Methode;RMSE;F1;Var_Ratio;Temps
10%;Mediane/Mode;77.57;0.0;0.3206;0.1
10%;KNN (k=5);76.89;0.0;0.3305;0.1
10%;MICE (BayesianRidge);76.26;0.24;0.3905;2.9
10%;MissForest;71.22;0.0;0.3535;118.5
20%;Mediane/Mode;57.94;0.0;0.2104;0.0
20%;KNN (k=5);57.78;0.0;0.2211;0.1
20%;MICE (BayesianRidge);57.66;0.24;0.2997;2.8
20%;MissForest;56.53;0.0;0.2454;65.9
40%;Mediane/Mode;106.74;0.0;0.067;0.0
40%;KNN (k=5);106.74;0.0;0.0756;0.1
40%;MICE (BayesianRidge);212.7;0.3673;1309.506;2.4
40%;MissForest;106.81;0.0;0.0839;58.5
